№   ;Tuman;Mahalla (МFY);Manzil;Yer maydoni chegaralarining burilish nuqtalari koordinatalari;;"Maydoni
(m2)";
;;;;Uzunlik;Kenglik;;
1;Mirobod tumani;Furqat;Nukus ko‘chasi 19/2-uy oldidagi hudud;41.288492305124905;69.27270711148488;105 m2;бўш
;;;;41.28852555926436;69.27265749062005;;
;;;;41.28843788922381;69.27253947342801;;
;;;;41.288396573416755;69.27259311760622;;
2;Mirobod tumani;Алтынкуль;Abdurauf Fitrat ko‘chasi 40a-uy manzilida joylashgan hudud;41.27065262024191;69.30258222542358;140 m2;"	
10:11:03:02:02:0089 ""OLTINKO'L"" МФЙ"
;;;;41.270605749297566; 69.30261105916732;;
;;;;41.270515535234736;69.30233345056482;;
;;;;41.270560894276336;69.30230796958197;;
3;Mirobod tumani; Тонг Юлдузи;“Tong yulduzi” MFY, Vodil ko‘chasidagi (“Alfraganus” turar-joy majmuasi oldidagi) hudud;41.288340382717344;69.2994151212166;140 m2;бўш
;;;;41.288366962544956;69.29947033888419;;
;;;;41.28855820732698;69.29928656758419;;
;;;;41.28853162757724;69.2992313499166;;
4;Mirobod tumani;Юксалиш;Qo‘yliq-4 massivi, 38-uy oldidagi (263-maktabning shimoli-g‘arbiy tomonidagi) hudud;41.249589991456254;69.30820817387273;105 m2;бўш
;;;;41.24958895961462;69.30863332007812;;
;;;;41.249543075748626; 69.30863197879529;;
;;;;41.24954509262255; 69.30820679213805;;
5;Mirzo Ulug‘bek tumani;Гульсанам; T.Malik ko‘chasidagi (“Monako” akvaparki oldidagi) hudud;41.3330096 1287117;69.37546812804864  ;140 m2;бўш
;;;;41.3331736773 6331 ;69.3752049670 1967;;
;;;;41.3332062503 01835  ;69.3752440259 0083;;
;;;;41.3330541769 9862 ;69.3755081379 6845 ;;
6;Mirzo Ulug‘bek tumani;Азамат; Gulsanam ko‘chasidagi 2-uy (TTZ mavzesi carvon benzin stansiyasi hududida) hudud;41.3594430732446;69.38572190453957 ;140 m2;10:09:43:01:03:0079 korzinka
;;;;41.3595122594 26026 ;69.38604257546267;;
;;;;41.3594625066 12125;69.3860511048 1302 ;;
;;;;41.3594013961 072;69.3857297818 9295 ;;
7;Mirzo Ulug‘bek tumani;Элабад;Buyuk Ipak yo‘li ko‘chasi 121-uy manzilida joylashgan hudud ;41.329767322376895;69.33447136636804 ;105 m2;бўш
;;;;41.3297978677 0893;69.33472085670557 ;;
;;;;41.3297520501 9954;69.33473379089378 ;;
;;;;41.3297090133 6281;69.3344897567 6973 ;;
8;Shayxontoxur tumani;Ибн Сино;Yoqub Ziyoyev ko‘chasida joylashgan hudud;41.336087375115824;69.16736397570325;140 m2;бўш
;;;;41.336081837904516;69.16769093005804;;
;;;;41.33603611234397;69.16769256238838;;
;;;;41.336042906745995;69.16736397730784;;
9;Yunusobod tumani;Богибустан;Boykent ko‘chasidagi, (“Chevrolet lux avto motors” oldidagi) hudud;41.33578947588009;69.31537987034758;105 m2;бўш
;;;;41.335828377161256;69.31562439442355;;
;;;;41.33578527207264;69.31564661751416;;
;;;;41.335746357286155;69.31539658229592;;
