Тошкент шаҳрида режалаштирилаётган дала дўконлари манзилли рўйхати;;;;;
Яанги хаёт тумани ;;;;;
№;МФЙ номи ;Савдо нуқтаси жойлашган манзили ;Бўш ер майдони кв.м ;локатция;
;;;;;Изоҳ
1;Янги Чоштепа;Янги Чоштепа МФЙ ён томонида;200;"41°13'53.3""N 69°11'33.0""E";Ахоли гавжум жой
;;;;;
2;Янги Дархон;Янги Дархон маҳалла ТХАЙ кўчадан кўп қаватли уйларга кириш қисмида;200;"41°13'09.4""N 69°11'33.2""E";Ахоли гавжум жой
;;;;;
3;Хумо;Хумо маҳалла мфй орқа қисми;142;"41°12'57.6""N 69°12'35.0""E";Ахоли гавжум жой
;;;;;
4;Олчазор ;Олчазор маҳалла 2-уй ён қисми;200;"41°12'15.8""N 69°11'39.2""E";Ахоли гавжум жой
;;;;;
5;Маъшал;Маъшал маҳалла мфй ён қисми;96;"41°12'43.1""N 69°12'50.4""E";Ахоли гавжум жой
;;;;;
6;Йўлдош ;Йўлдош маҳалла 8-мавзе 1 ён олд қисми;135;"41°11'42.3""N 69°12'57.1""E";Ахоли гавжум жой
;;;;;
7;Янгиҳаёт;Янгиҳаёт маҳалласи 4 уй ён қисми;200;"41°12'59.7""N 69°11'53.5""E";Ахоли гавжум жой
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
Бектемир тумани;;;;;
№;МФЙ номи ;Савдо нуқтаси жойлашган манзили ;Бўш ер майдони кв.м ;локатция;Изоҳ
;;;;;
1;Зилола;Водник даҳаси 26-а уй;70;41.25260796342063, 69.37348752413419;Ахоли гавжум жой
2;Иқбол;Водник даҳаси 78- уй;50;41.248752026090706, 69.37225954156251;Ахоли гавжум жой
3;Мусаффо;Сарчашма кўчаси;50;41.2132820637299,;Ахоли гавжум жой
;;;;69.3193656348159;
4;Миришкор;Водник даҳаси 51- уй;70;41.25661136244075, 69.3802952622815;Ахоли гавжум жой
;;;;;
5;Рохат;Водник даҳаси 46 б- уй;50;41.252663422092226, 69.37778482132371;Ахоли гавжум жой
;;;;;
6;Бектемир;Ҳусайн Бойқаро 2-тор кўчаси;50;41.23437818602094, 69.3395607752537;Ахоли гавжум жой
7;Гулбоғ;Зиёнур кўчасида ;50;41.22923472960548, 69.36743453947925;Ахоли гавжум жой
;;;;;
8;Олтинтопган;Олтинтопган кўчаси;50;41.2283054944649, 69.32914742794732;Ахоли гавжум жой
9;Cоҳил ;Алқор кўчаси;50;41.21948651885023, 69.32804572806967;Ахоли гавжум жой
Яшнобод тумани;;;;;
№;МФЙ номи ;Савдо нуқтаси жойлашган манзили ;Бўш ер майдони кв.м ;локатция;Изоҳ
;;;;;
1;Амир Темур;1-Тузел мавзеси (5-кўп қавватли уй ён тарафи);100;;Ахоли гавжум жой
;;;;"41°17'50.7""N 69°21'20.5""E";
2;Бойқўрғон;Боткина кўчаси, 5 уй (4 ва 5-кўп қаватли уй ён тарафи);100;;Ахоли гавжум жой
;;;;"41°18'25.9""N 69°18'23.0""E";
3;Машинасозлар;Боткина кўчаси, 5 уй (4 ва 5-кўп қаватли уй ён тарафи);100;;Ахоли гавжум жой
;;;;"41°18'25.9""N 69°18'23.0""E";
4;Махмур;Авиасозлар, 1 тор кўчаси, (13 кўп қаватли уй олдида);100;;Ахоли гавжум жой
;;;;"41°17'29.3""N 69°20'03.3""E";
5;Янги Давр;Оқ-Дарё кўчаси (120/7 ва 120/10 кўп қаватли уй оралиғида);100;;Ахоли гавжум жой
;;;;"41°15'54.8""N 69°19'30.1""E";
6;Бунёдкор;Мўйноқ кўчаси, (216-умумтаьлим мактаб олдида);100;;Ахоли гавжум жой
;;;;"41°15'36.2""N 69°19'12.7""E";
7;Шохимардон;Хуснобод кўчаси, (67-умумтаьлим мактаб олдида);100;;Ахоли гавжум жой
;;;;"41°16'32.0""N 69°20'46.0""E";
8;Тарновбоши;Катта Янгиобод кўчаси (МФЙ биноси олдида);100;;Ахоли гавжум жой
;;;;"41°15'55.5""N 69°21'12.8""E";
9;Ўрта Масжид;Оханграбо мавзеси, (30 ва 35 кўп қаватли уйлар оралиғида);100;;Ахоли гавжум жой
;;;;"41°15'55.1""N 69°19'30.0""E";
Чилонзор тумани;;;;;
№;МФЙ номи ;Савдо нуқтаси жойлашган манзили ;Бўш ер майдони кв.м ;локатция;
;;;;;Изоҳ
1.;Бахористон;Заргарлик кўчаси, 50/1-уй орқаси;200;41.260618, 69.161966;Ахоли гавжум жой
2.;Бектўпи;4-5 уйлар оралиғи;200;41.257608, 69.156283;Ахоли гавжум жой
3.;Тирсакобод;Тирсакобод кўча, 1-уй ёни;200;41.253614, 69.203561;Ахоли гавжум жой
4.;Бўрижар;Қатортол кўчаси, 1-3 уйлар оралиғи;200;41.267594, 69.192102;Ахоли гавжум жой
5.;Дўмбиробод;4-тор кўча, 3а-уй орқаси;200;41.263205, 69.20811;Ахоли гавжум жой
6.;Яккатут;Катта қани 36-37 уйлар орқаси;200;41.265426, 69.177339;Ахоли гавжум жой
7.;Новза;Бунёдкор шох кўча, 11а-уй ёни;200;41.293556, 69.226816;Ахоли гавжум жой
8.;2-Чарх Камолон;144-150 уйлар оралиғи;200;41.294475, 69.222246;Ахоли гавжум жой
9.;Лутфий;Лутфий 1-тор, 95-уй орқаси;200;41.297747, 69.20376;Ахоли гавжум жой
Сергели тумани;;;;;
;;;;;
№;МФЙ номи ;Савдо нуқтаси жойлашган манзили ;Бўш ер майдони кв.м ;локатция;Изоҳ
1;“Ўзгариш” МФЙ;Сергели 5 мавзеси 33-уй олд  қисмида;200;"41°13'27.4""N 69°12'28.3""E";Аҳоли гавжум жой
2;“Иттифоқ” МФЙ;Сергели 2 мавзеси 37-уй ён қисмида;200;"41°12'40.9""N 69°13'39.4""E";Аҳоли гавжум жой
